DMC Code,Color Name,HEX,R,G,B,C,M,Y,K
B5200,Snow White,#FAFAFF,250,250,255,2,2,0,0
BLANC,White,#FCFCFC,252,252,252,0,0,0,1.2
ECRU,Ecru,#EDDEC4,237,222,196,0,6.3,17.3,7.1
01,White Tin,#C5C5C5,197,197,197,0,0,0,22.7
02,Tin,#ABABAB,171,171,171,0,0,0,32.9
03,Medium Tin,#908F90,144,143,144,0,0.7,0,43.5
04,Dark Tin,#676464,103,100,100,0,2.9,2.9,59.6
05,Light Driftwood,#BBAFA5,187,175,165,0,6.4,11.8,26.7
06,Medium Light Driftwood,#B4A293,180,162,147,0,10,18.3,29.4
07,Driftwood,#746256,116,98,86,0,15.5,25.9,54.5
08,Dark Driftwood,#695B50,105,91,80,0,13.3,23.8,58.8
09,Very Dark Cocoa,#483837,72,56,55,0,22.2,23.6,71.8
10,Very Light Tender Green,#CECEB8,206,206,184,0,0,10.7,19.2
11,Light Tender Green,#E0DC84,224,220,132,0,1.8,41.1,12.2
12,Tender Green,#CFC662,207,198,98,0,4.3,52.7,18.8
13,Medium Light Nile Green,#98C29C,152,194,156,21.6,0,19.6,23.9
14,Pale Apple Green,#CED194,206,209,148,1.4,0,29.2,18
15,Apple Green,#CDD684,205,214,132,4.2,0,38.3,16.1
16,Light Chartreuse,#B0B56A,176,181,106,2.8,0,41.4,29
17,Light Yellow Plum,#D5C551,213,197,81,0,7.5,62,16.5
18,Yellow Plum,#D9BF4A,217,191,74,0,12,65.9,14.9
19,Medium Light Autumn Gold,#CC9C52,204,156,82,0,23.5,59.8,20
20,Shrimp,#F7D1B3,247,209,179,0,15.4,27.5,3.1
21,Light Alizarin,#C0614D,192,97,77,0,49.5,59.9,24.7
22,Alizarin,#922A29,146,42,41,0,71.2,71.9,42.7
23,Apple Blossom,#E8DADF,232,218,223,0,6,3.9,9
24,White Lavender,#E0D9E4,224,217,228,1.8,4.8,0,10.6
25,Ultra Light Lavender,#D0CADB,208,202,219,5,7.8,0,14.1
26,Pale Lavender,#BBB0D1,187,176,209,10.5,15.8,0,18
27,White Violet,#D9D4D8,217,212,216,0,2.3,0.5,14.9
28,Medium Light Eggplant,#8178A0,129,120,160,19.4,25,0,37.3
29,Eggplant,#493C5E,73,60,94,22.3,36.2,0,63.1
30,Medium Light Blueberry,#8A89B0,138,137,176,21.6,22.2,0,31
31,Blueberry,#65629D,101,98,157,35.7,37.6,0,38.4
32,Dark Blueberry,#565385,86,83,133,35.3,37.6,0,47.8
33,Fuchsia,#884B8E,136,75,142,4.2,47.2,0,44.3
34,Dark Fuchsia,#7A3070,122,48,112,0,60.7,8.2,52.2
35,Very Dark Fuchsia,#58274B,88,39,75,0,55.7,14.8,65.5
150,Dusty Rose ultra very dark,#911238,145,18,56,0,87.6,61.4,43.1
151,Dusty Rose very light,#F2A8BA,242,168,186,0,30.6,23.1,5.1
152,Shell Pink medium light,#CC8285,204,130,133,0,36.3,34.8,20
153,Violet very light,#D19EC4,209,158,196,0,24.4,6.2,18
154,Grape very dark,#38172B,56,23,43,0,58.9,23.2,78
155,Blue Violet medium dark,#7665AB,118,101,171,31,40.9,0,32.9
156,Blue Violet medium light,#737DB3,115,125,179,35.8,30.2,0,29.8
157,Cornflower Blue very light,#95ABCA,149,171,202,26.2,15.3,0,20.8
158,Cornflower Blue medium,#303065,48,48,101,52.5,52.5,0,60.4
159,Grey Blue light,#97A6C5,151,166,197,23.4,15.7,0,22.7
160,Grey Blue medium,#66759C,102,117,156,34.6,25,0,38.8
161,Grey Blue,#4F5C85,79,92,133,40.6,30.8,0,47.8
162,Blue ultra very light,#A2C1D0,162,193,208,22.1,7.2,0,18.4
163,Celadon Green medium,#44715B,68,113,91,39.8,0,19.5,55.7
164,Forest Green light,#87BF78,135,191,120,29.3,0,37.2,25.1
165,Moss Green very light,#CDC965,205,201,101,0,2,50.7,19.6
166,Moss Green medium light,#A19F20,161,159,32,0,1.2,80.1,36.9
167,Yellow Beige very dark,#8D643A,141,100,58,0,29.1,58.9,44.7
168,Pewter very light,#ABB3B7,171,179,183,6.6,2.2,0,28.2
169,Pewter light,#707A7A,112,122,122,8.2,0,0,52.2
208,Lavender very dark,#824596,130,69,150,13.3,54,0,41.2
209,Lavender dark,#A66CB3,166,108,179,7.3,39.7,0,29.8
210,Lavender medium,#BE91CD,190,145,205,7.3,29.3,0,19.6
211,Lavender light,#D6B5E3,214,181,227,5.7,20.3,0,11
221,Shell Pink very dark,#6D2329,109,35,41,0,67.9,62.4,57.3
223,Shell Pink light,#B35C65,179,92,101,0,48.6,43.6,29.8
224,Shell Pink very light,#D48F8B,212,143,139,0,32.5,34.4,16.9
225,Shell Pink ultra very light,#F5C4BD,245,196,189,0,20,22.9,3.9
300,Mahogany very dark,#632E20,99,46,32,0,53.5,67.7,61.2
301,Mahogany medium,#994725,153,71,37,0,53.6,75.8,40
304,Christmas Red medium,#9A0029,154,0,41,0,100,73.4,39.6
307,Lemon,#FBDE18,251,222,24,0,11.6,90.4,1.6
309,Rose deep,#AD203E,173,32,62,0,81.5,64.2,32.2
310,Black,#0C0C0C,12,12,12,0,0,0,95.3
311,Navy Blue medium,#203050,32,48,80,60,40,0,68.6
312,Navy Blue light,#23426F,35,66,111,68.5,40.5,0,56.5
315,Antique Mauve dark,#6F3842,111,56,66,0,49.5,40.5,56.5
316,Antique Mauve medium,#AF6A7F,175,106,127,0,39.4,27.4,31.4
317,Pewter Grey,#4F5460,79,84,96,17.7,12.5,0,62.4
318,Steel Grey light,#808796,128,135,150,14.7,10,0,41.2
319,Pistachio Green very dark,#25402C,37,64,44,42.2,0,31.2,74.9
320,Pistachio Green medium,#5A7F5A,90,127,90,29.1,0,29.1,50.2
321,Christmas Red,#AC0025,172,0,37,0,100,78.5,32.5
322,Baby Blue dark,#40669B,64,102,155,58.7,34.2,0,39.2
326,Rose very deep,#A61238,166,18,56,0,89.2,66.3,34.9
327,Violet,#5E2E5E,94,46,94,0,51.1,0,63.1
333,Blue Violet very dark,#4F3687,79,54,135,41.5,60,0,47.1
334,Baby Blue medium,#4A75A6,74,117,166,55.4,29.5,0,34.9
335,Rose,#D44464,212,68,100,0,67.9,52.8,16.9
336,Navy Blue,#202C4F,32,44,79,59.5,44.3,0,69
340,Blue Violet medium,#7C76BE,124,118,190,34.7,37.9,0,25.5
341,Blue Violet light,#929ECB,146,158,203,28.1,22.2,0,20.4
347,Salmon very dark,#A62030,166,32,48,0,80.7,71.1,34.9
349,Coral dark,#BD1C29,189,28,41,0,85.2,78.3,25.9
350,Coral medium,#D43434,212,52,52,0,75.5,75.5,16.9
351,Coral,#E04D46,224,77,70,0,65.6,68.8,12.2
352,Coral light,#F27365,242,115,101,0,52.5,58.3,5.1
353,Peach,#FEA693,254,166,147,0,34.6,42.1,0.4
355,Terra Cotta dark,#882E2C,136,46,44,0,66.2,67.6,46.7
356,Terra Cotta medium,#AD4F45,173,79,69,0,54.3,60.1,32.2
367,Pistachio Green dark,#406647,64,102,71,37.3,0,30.4,60
368,Pistachio Green light,#7BA476,123,164,118,25,0,28,35.7
369,Pistachio Green very light,#C1D49D,193,212,157,9,0,25.9,16.9
370,Mustard medium,#826E3D,130,110,61,0,15.4,53.1,49
371,Mustard,#8F7A47,143,122,71,0,14.7,50.3,43.9
372,Mustard light,#A39361,163,147,97,0,9.8,40.5,36.1
400,Mahogany dark,#753321,117,51,33,0,56.4,71.8,54.1
402,Mahogany very light,#E8895B,232,137,91,0,40.9,60.8,9
407,Clay Brown (3773),#B17260,177,114,96,0,35.6,45.8,30.6
413,Pewter Grey dark,#3D4247,61,66,71,14.1,7,0,72.2
414,Steel Grey dark,#646B78,100,107,120,16.7,10.8,0,52.9
415,Pearl Grey,#9FA6B1,159,166,177,10.2,6.2,0,30.6
420,Hazelnut Brown dark,#8E6034,142,96,52,0,32.4,63.4,44.3
422,Hazelnut Brown light,#BC935B,188,147,91,0,21.8,51.6,26.3
433,Brown medium,#643823,100,56,35,0,44,65,60.8
434,Brown light,#804625,128,70,37,0,45.3,71.1,49.8
435,Brown very light,#A36134,163,97,52,0,40.5,68.1,36.1
436,Tan,#B97C4A,185,124,74,0,33,60,27.5
437,Tan light,#D19C6A,209,156,106,0,25.4,49.3,18
444,Lemon dark,#F0B900,240,185,0,0,22.9,100,5.9
445,Lemon light,#F7F57A,247,245,122,0,0.8,50.6,3.1
451,Shell Grey dark,#7A6C6C,122,108,108,0,11.5,11.5,52.2
452,Shell Grey medium,#9F8B8B,159,139,139,0,12.6,12.6,37.6
453,Shell Grey light,#BFADA6,191,173,166,0,9.4,13.1,25.1
469,Avocado Green,#575F23,87,95,35,8.4,0,63.2,62.7
470,Avocado Green light,#6A7830,106,120,48,11.7,0,60,52.9
471,Avocado Green very light,#8D9D54,141,157,84,10.2,0,46.5,38.4
472,Avocado Green ultra light,#BBBB60,187,187,96,0,0,48.7,26.7
498,Christmas Red dark,#880025,136,0,37,0,100,72.8,46.7
500,Blue Green very dark,#253D36,37,61,54,39.3,0,11.5,76.1
501,Blue Green dark,#36544A,54,84,74,35.7,0,11.9,67.1
502,Blue Green,#547565,84,117,101,28.2,0,13.7,54.1
503,Blue Green medium,#839C8B,131,156,139,16,0,10.9,38.8
505,Jade Green,#2C6142,44,97,66,54.6,0,32,62
517,Wedgewood dark,#236391,35,99,145,75.9,31.7,0,43.1
518,Wedgewood light,#3D84A4,61,132,164,62.8,19.5,0,35.7
519,Sky Blue,#78B1C8,120,177,200,40,11.5,0,21.6
520,Fern Green dark,#3A4734,58,71,52,18.3,0,26.8,72.2
522,Fern Green,#727D5F,114,125,95,8.8,0,24,51
523,Fern Green light,#8E9773,142,151,115,6,0,23.8,40.8
524,Fern Green very light,#9AA284,154,162,132,4.9,0,18.5,36.5
535,Ash Grey very light,#4B4B46,75,75,70,0,0,6.7,70.6
543,Beige Brown ultra very light,#E5C7AD,229,199,173,0,13.1,24.5,10.2
550,Violet very dark,#47184B,71,24,75,5.3,68,0,70.6
552,Violet medium,#7B3881,123,56,129,4.7,56.6,0,49.4
553,Violet,#924F92,146,79,146,0,45.9,0,42.7
554,Violet light,#C48BC3,196,139,195,0,29.1,0.5,23.1
561,Jade very dark,#295544,41,85,68,51.8,0,20,66.7
562,Jade medium,#3A7C5A,58,124,90,53.2,0,27.4,51.4
563,Jade light,#6DB18C,109,177,140,38.4,0,20.9,30.6
564,Jade very light,#8BC9A3,139,201,163,30.8,0,18.9,21.2
580,Moss Green dark,#5C5F20,92,95,32,3.2,0,66.3,62.7
581,Moss Green,#797B29,121,123,41,1.6,0,66.7,51.8
597,Turquoise,#4D929F,77,146,159,51.6,8.2,0,37.6
598,Turquoise light,#7AB2B5,122,178,181,32.6,1.7,0,29
600,Cranberry very dark,#AF0047,175,0,71,0,100,59.4,31.4
601,Cranberry dark,#C61B57,198,27,87,0,86.4,56.1,22.4
602,Cranberry medium,#D7306D,215,48,109,0,77.7,49.3,15.7
603,Cranberry,#E94F8C,233,79,140,0,66.1,39.9,8.6
